S-22B Google 0 WER: 0.41706161137440756, S:34, I:2, D:52
S-22B Kaldi 0 WER: 0.2559241706161137, S:34, I:8, D:12
S-22B Google 1 WER: 0.3318777292576419, S:27, I:4, D:45
S-22B Kaldi 1 WER: 0.2096069868995633, S:30, I:10, D:8
S-22B Google 2 WER: 0.3710801393728223, S:100, I:7, D:106
S-22B Kaldi 2 WER: 0.21602787456445993, S:71, I:20, D:33
S-22B Google 3 WER: 0.3603238866396761, S:27, I:1, D:61
S-22B Kaldi 3 WER: 0.1700404858299595, S:22, I:7, D:13
S-22B Google 4 WER: 0.43283582089552236, S:53, I:1, D:91
S-22B Kaldi 4 WER: 0.22686567164179106, S:39, I:4, D:33
S-22B Google 5 WER: 0.3923705722070845, S:51, I:4, D:89
S-22B Kaldi 5 WER: 0.17438692098092642, S:43, I:9, D:12
S-22B Google 6 WER: 0.5151515151515151, S:7, I:0, D:10
S-22B Kaldi 6 WER: 0.2727272727272727, S:4, I:0, D:5
S-22B Google 7 WER: 0.2654320987654321, S:22, I:1, D:20
S-22B Kaldi 7 WER: 0.18518518518518517, S:19, I:3, D:8
S-22B Google 8 WER: 0.3378995433789954, S:32, I:1, D:41
S-22B Kaldi 8 WER: 0.1735159817351598, S:23, I:5, D:10
S-22B Google 9 WER: 0.25, S:2, I:0, D:9
S-22B Kaldi 9 WER: 0.11363636363636363, S:2, I:1, D:2
S-22B Google 10 WER: 0.30845771144278605, S:32, I:1, D:29
S-22B Kaldi 10 WER: 0.20398009950248755, S:30, I:3, D:8
S-22B Google 11 WER: 0.4039408866995074, S:40, I:3, D:39
S-22B Kaldi 11 WER: 0.19704433497536947, S:23, I:8, D:9
S-4D Google 0 WER: 0.511482254697286, S:108, I:12, D:125
S-4D Kaldi 0 WER: 0.4175365344467641, S:101, I:46, D:53
S-4D Google 1 WER: 0.5399515738498789, S:113, I:2, D:108
S-4D Kaldi 1 WER: 0.423728813559322, S:81, I:40, D:54
S-4D Google 2 WER: 0.5146579804560261, S:73, I:3, D:82
S-4D Kaldi 2 WER: 0.3745928338762215, S:58, I:15, D:42
S-4D Google 3 WER: 0.5, S:90, I:1, D:78
S-4D Kaldi 3 WER: 0.31952662721893493, S:50, I:11, D:47
S-4D Google 4 WER: 0.5022321428571429, S:123, I:1, D:101
S-4D Kaldi 4 WER: 0.35044642857142855, S:76, I:18, D:63
S-4D Google 5 WER: 0.5605700712589073, S:119, I:2, D:115
S-4D Kaldi 5 WER: 0.38004750593824227, S:96, I:17, D:47
S-8D Google 0 WER: 0.36099585062240663, S:40, I:1, D:46
S-8D Kaldi 0 WER: 0.1950207468879668, S:17, I:24, D:6
S-8D Google 1 WER: 0.3025210084033613, S:31, I:1, D:40
S-8D Kaldi 1 WER: 0.16806722689075632, S:15, I:13, D:12
S-8D Google 2 WER: 0.26987951807228916, S:37, I:2, D:73
S-8D Kaldi 2 WER: 0.163855421686747, S:31, I:18, D:19
S-8D Google 3 WER: 0.33031674208144796, S:60, I:2, D:84
S-8D Kaldi 3 WER: 0.25565610859728505, S:54, I:30, D:29
S-8D Google 4 WER: 0.31451612903225806, S:76, I:8, D:72
S-8D Kaldi 4 WER: 0.20967741935483872, S:48, I:32, D:24
